uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,groupID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,volumePercent,livePercent,deadPercent,canopyArea,meanHeight,remarks,measuredBy,recordedBy,dataQF
"f2d02907-e3f8-4e33-9e8c-c6898fc85743","TEAK_052.basePlot.vst","2015-10-13","vst_TEAK_2015","D17","TEAK","TEAK_052","41","1","41_03","CECO","Ceanothus cordulatus Kellogg","species",,,100,0,100,6.0,0.68,,"tedgarian@neoninc.org","lwade@field-ops.org","legacyData"
"0feaf286-8cd1-4423-a041-055b26ad1974","TEAK_052.basePlot.vst","2015-10-13","vst_TEAK_2015","D17","TEAK","TEAK_052","41","4","41_01","CECO","Ceanothus cordulatus Kellogg","species",,,100,80,20,7.0,0.90,,"tedgarian@neoninc.org","lwade@field-ops.org","legacyData"
"4fdad67a-c82f-4d3f-9d93-8de17f517d6a","TEAK_052.basePlot.vst","2015-10-13","vst_TEAK_2015","D17","TEAK","TEAK_052","41","4","41 _0","CECO","Ceanothus cordulatus Kellogg","species",,,100,80,20,7.0,0.90,,"tedgarian@neoninc.org","lwade@field-ops.org","legacyData"
"c3355fad-8e1e-440c-8701-09a6c524c4ec","TEAK_052.basePlot.vst","2015-10-13","vst_TEAK_2015","D17","TEAK","TEAK_052","41","1","41 _0","CECO","Ceanothus cordulatus Kellogg","species",,,100,30,70,7.0,1.40,,"tedgarian@neoninc.org","lwade@field-ops.org","legacyData"
"fe80faa1-3af9-436a-96fd-7877d45ebe8e","TEAK_052.basePlot.vst","2015-10-13","vst_TEAK_2015","D17","TEAK","TEAK_052","41","1","41 _0","CECO","Ceanothus cordulatus Kellogg","species",,,100,0,100,7.0,0.72,,"tedgarian@neoninc.org","lwade@field-ops.org","legacyData"
"37a69bd5-7e7a-47ec-aa75-aafa1e77e7aa","TEAK_052.basePlot.vst","2015-10-13","vst_TEAK_2015","D17","TEAK","TEAK_052","41","1","41_02","CECO","Ceanothus cordulatus Kellogg","species",,,100,30,70,13.0,1.52,,"tedgarian@neoninc.org","lwade@field-ops.org","legacyData"
"9e6856e8-c042-48ea-8106-aa6a1b717b79","TEAK_052.basePlot.vst","2015-10-15","vst_TEAK_2015","D17","TEAK","TEAK_052","23","2","23_02","CECO","Ceanothus cordulatus Kellogg","species",,,100,10,90,6.0,0.80,,"kzias@field-ops.org","emccarthy@field-ops.org","legacyData"
"5edc37c3-2edb-47ab-a992-5daba9e11782","TEAK_052.basePlot.vst","2015-10-15","vst_TEAK_2015","D17","TEAK","TEAK_052","23","4","23_03","CECO","Ceanothus cordulatus Kellogg","species",,,100,5,95,13.0,0.42,,"kzias@field-ops.org","emccarthy@field-ops.org","legacyData"
"5489cb3a-c6e4-4c17-84ec-0c592963eac9","TEAK_052.basePlot.vst","2015-10-15","vst_TEAK_2015","D17","TEAK","TEAK_052","23","4","23 _0","CECO","Ceanothus cordulatus Kellogg","species",,,100,10,90,6.0,0.34,"proofed and no errors","kzias@field-ops.org","emccarthy@field-ops.org","legacyData"
"9fd3486d-be8c-4f14-b558-6e168dc91d78","TEAK_052.basePlot.vst","2015-10-15","vst_TEAK_2015","D17","TEAK","TEAK_052","23","2","23 _0","CECO","Ceanothus cordulatus Kellogg","species",,,100,10,90,6.0,0.66,,"kzias@field-ops.org","emccarthy@field-ops.org","legacyData"
"1a182d0b-cfe0-4310-bbf5-115302003ccf","TEAK_052.basePlot.vst","2015-10-15","vst_TEAK_2015","D17","TEAK","TEAK_052","23","4","23 _0","CECO","Ceanothus cordulatus Kellogg","species",,,100,5,95,6.0,0.38,,"kzias@field-ops.org","emccarthy@field-ops.org","legacyData"
"5e47ea07-587c-4942-8f02-41dabb31aa17","TEAK_052.basePlot.vst","2015-10-15","vst_TEAK_2015","D17","TEAK","TEAK_052","23","4","23_01","CECO","Ceanothus cordulatus Kellogg","species",,,100,10,90,6.0,0.34,"proofed and no errors","kzias@field-ops.org","emccarthy@field-ops.org","legacyData"
