uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,groupID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,volumePercent,livePercent,deadPercent,canopyArea,meanHeight,remarks,measuredBy,recordedBy,dataQF
"dfc12b50-17b2-4c36-b7b6-91abe5403e7b","JERC_051.basePlot.vst","2015-09-01","vst_JERC_2015","D03","JERC","JERC_051","39","1","39 _0","PRAM","Prunus americana Marshall","species",,,40,1,,6.0,1.56,,"jshaffer@field-ops.org","dbyerley@field-ops.org","legacyData"
"526510c8-b27c-4026-892b-5d6014c72609","JERC_051.basePlot.vst","2015-09-01","vst_JERC_2015","D03","JERC","JERC_051","39","1","39 _0","QUMA13","Quercus margaretta","species",,,20,100,,6.0,1.56,,"jshaffer@field-ops.org","dbyerley@field-ops.org","legacyData"
"fdccf28f-035a-4d55-a956-9b27f292b4a0","JERC_060.basePlot.vst","2015-09-02","vst_JERC_2015","D03","JERC","JERC_060","23",,"23 _0","VAAR","Vaccinium arboreum Marshall","species",,,15,100,0,6.0,3.12,,"jshaffer@field-ops.org","lwilkinson@field-ops.org","legacyData"
"d7a346a8-72df-4114-8550-50e663c91449","JERC_060.basePlot.vst","2015-09-02","vst_JERC_2015","D03","JERC","JERC_060","23",,"23 _0","SASSA","Sassafras sp.","genus",,,10,100,0,6.0,1.90,,"jshaffer@field-ops.org","lwilkinson@field-ops.org","legacyData"
"04edfdfb-d438-4252-8792-9cfc4ad4ab3a","JERC_060.basePlot.vst","2015-09-02","vst_JERC_2015","D03","JERC","JERC_060","23",,"23 _0","QUNI","Quercus nigra L.","species",,,60,100,0,6.0,3.12,,"jshaffer@field-ops.org","lwilkinson@field-ops.org","legacyData"
"bc674404-a18c-459b-bd61-f1a931adc0bb","JERC_060.basePlot.vst","2015-09-02","vst_JERC_2015","D03","JERC","JERC_060","23",,"23 _0","SASSA","Sassafras sp.","genus",,,15,100,0,6.0,3.12,,"jshaffer@field-ops.org","lwilkinson@field-ops.org","legacyData"
"8c881819-ef29-43d7-9dc2-c2e252c9c3b3","JERC_060.basePlot.vst","2015-09-02","vst_JERC_2015","D03","JERC","JERC_060","23",,"23 _0","QUFA","Quercus falcata Michx.","species",,,10,100,0,6.0,1.90,,"jshaffer@field-ops.org","lwilkinson@field-ops.org","legacyData"
"dfae6aea-a1f3-43ef-9420-e447630b82fd","JERC_060.basePlot.vst","2015-09-02","vst_JERC_2015","D03","JERC","JERC_060","23",,"23 _0","QUHE2","Quercus hemisphaerica W. Bartram ex Willd.","species",,,10,100,0,6.0,3.12,,"jshaffer@field-ops.org","lwilkinson@field-ops.org","legacyData"
"82e95c3f-1392-4d4e-be4a-30e8a32cc536","JERC_060.basePlot.vst","2015-09-02","vst_JERC_2015","D03","JERC","JERC_060","23",,"23 _0","VAAR","Vaccinium arboreum Marshall","species",,,30,100,0,6.0,1.90,,"jshaffer@field-ops.org","lwilkinson@field-ops.org","legacyData"
"cbc06996-68c1-469e-bfd8-5e361916c37b","JERC_066.basePlot.vst","2015-09-17","vst_JERC_2015","D03","JERC","JERC_066","39",,"39 _0","RHCO","Rhus copallinum L.","species",,,2,100,0,9.8,1.56,,"ecayia@field-ops.org","smatlick@field-ops.org","legacyData"
"b1565a90-b91f-40f4-b7c4-65ae6d8ba112","JERC_066.basePlot.vst","2015-09-17","vst_JERC_2015","D03","JERC","JERC_066","39",,"39 _0","RUBUS","Rubus sp.","genus",,,2,100,0,9.8,1.56,,"ecayia@field-ops.org","smatlick@field-ops.org","legacyData"
"623c98e9-3226-4a16-9a85-896b93768222","JERC_066.basePlot.vst","2015-09-17","vst_JERC_2015","D03","JERC","JERC_066","39",,"39 _0","PRSE2","Prunus serotina Ehrh.","species",,"cf. species",30,80,20,9.8,1.56,,"ecayia@field-ops.org","smatlick@field-ops.org","legacyData"
"bab9869d-9a90-446d-8c97-9506acca5a94","JERC_066.basePlot.vst","2015-09-17","vst_JERC_2015","D03","JERC","JERC_066","39",,"39 _0","SASSA","Sassafras sp.","genus",,,15,75,25,9.8,1.56,,"ecayia@field-ops.org","smatlick@field-ops.org","legacyData"
