uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,groupID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,volumePercent,livePercent,deadPercent,canopyArea,meanHeight,remarks,measuredBy,recordedBy,dataQF
"b697a2e3-d5fe-439f-873a-be9ad4b2091c","NIWO_054.basePlot.vst","2015-07-01","vst_NIWO_2015","D13","NIWO","NIWO_054",,,"NA NA","SALIX","Salix sp.","genus",,,100,100,0,5.0,0.42,,"kbarrett@neoninc.org","mbitters@field-ops.org","legacyData"
"7885a7da-b65c-4522-9c5b-f2be47da3ffd","NIWO_053.basePlot.vst","2015-07-07","vst_NIWO_2015","D13","NIWO","NIWO_053",,,"NA NA","SALIX","Salix sp.","genus",,,100,97,3,29.7,0.70,,"kbarrett@neoninc.org","bhwang@neoninc.org","legacyData"
"238dba85-6c0b-4fc4-8c2f-c88dbdbe2369","NIWO_062.basePlot.vst","2015-07-09","vst_NIWO_2015","D13","NIWO","NIWO_062",,,"NA NA","SALIX","Salix sp.","genus",,,100,100,0,3.0,0.34,,"kbarrett@neoninc.org","dbradley@field-ops.org","legacyData"
"da0d9597-1162-407a-948b-b283db979016","NIWO_062.basePlot.vst","2015-07-09","vst_NIWO_2015","D13","NIWO","NIWO_062",,,"NA NA","PIEN","Picea engelmannii Parry ex Engelm.","species",,,95,90,10,3.0,1.94,,"kbarrett@neoninc.org","dbradley@field-ops.org","legacyData"
"b3168843-c84d-48e6-a1eb-8c2049e2bafa","NIWO_049.basePlot.vst","2015-07-10","vst_NIWO_2015","D13","NIWO","NIWO_049",,,"1","SALIX","Salix sp.","genus",,,100,100,0,1.0,0.16,,"kbarrett@neoninc.org","kbarrett@neoninc.org","legacyData"
"9b0221a2-5a88-4dbf-b8d1-87616a2e1ba3","NIWO_049.basePlot.vst","2015-07-10","vst_NIWO_2015","D13","NIWO","NIWO_049",,,"2","PIEN","Picea engelmannii Parry ex Engelm.","species",,,5,100,0,4.0,0.40,,"kbarrett@neoninc.org","kbarrett@neoninc.org","legacyData"
"5d411821-b325-4d7b-ab4a-1cc132a6ae36","NIWO_050.basePlot.vst","2015-07-20","vst_NIWO_2015","D13","NIWO","NIWO_050",,,"1","SALIX","Salix sp.","genus",,,66,100,0,4.0,0.36,,"kbarrett@neoninc.org","dbradley@field-ops.org","legacyData"
"3d0dd57b-00ca-4241-ad4b-90d87f7c4463","NIWO_050.basePlot.vst","2015-07-20","vst_NIWO_2015","D13","NIWO","NIWO_050",,,"1","JUCO6","Juniperus communis L.","species",,,34,100,0,4.0,0.36,,"kbarrett@neoninc.org","dbradley@field-ops.org","legacyData"
"04b61fe7-d649-4618-a0da-8a461440f0b1","NIWO_067.basePlot.vst","2015-07-20","vst_NIWO_2015","D13","NIWO","NIWO_067",,"4","NA NA","SALIX","Salix sp.","genus",,,100,100,0,5.0,1.12,,"kbarrett@neoninc.org","dbradley@field-ops.org","legacyData"
"ab9ab815-3103-4a4e-a9e8-05920908ffc8","NIWO_067.basePlot.vst","2015-07-20","vst_NIWO_2015","D13","NIWO","NIWO_067",,"1","NA NA","PIEN","Picea engelmannii Parry ex Engelm.","species",,,100,100,0,5.0,1.46,,"kbarrett@neoninc.org","dbradley@field-ops.org","legacyData"
"fc27b524-cb63-4cfc-a44f-e93c69633fe2","NIWO_067.basePlot.vst","2015-07-20","vst_NIWO_2015","D13","NIWO","NIWO_067",,"4","NA NA","ABLA","Abies lasiocarpa (Hook.) Nutt.","species",,,100,100,0,5.0,3.02,,"kbarrett@neoninc.org","dbradley@field-ops.org","legacyData"
"1b8d7b2e-f0b9-4e88-a298-6f4d1b7e2f14","NIWO_044.basePlot.vst","2015-07-23","vst_NIWO_2015","D13","NIWO","NIWO_044",,,"NA NA","PIEN","Picea engelmannii Parry ex Engelm.","species",,,100,90,10,6.0,1.02,,"kbarrett@neoninc.org","dbradley@field-ops.org","legacyData"
