uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,groupID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,volumePercent,livePercent,deadPercent,canopyArea,meanHeight,remarks,measuredBy,recordedBy,dataQF
"77083ca7-38fd-4c64-8532-2d9ac018346d","SOAP_047.basePlot.vst","2015-11-05","vst_SOAP_2015","D17","SOAP","SOAP_047","23","4","23 _0","ARVIM","Arctostaphylos viscida Parry ssp. mariposa (Dudley) P.V. Wells","subspecies",,,99,40,60,9.0,2.60,,"krian@neoninc.org","krian@neoninc.org","legacyData"
"dbc9c80a-0cc0-4ed4-9ad1-211db25625c9","SOAP_047.basePlot.vst","2015-11-05","vst_SOAP_2015","D17","SOAP","SOAP_047","41","4","41 _0","PIPO","Pinus ponderosa Lawson & C. Lawson","species",,"cf. species",1,0,100,26.0,2.50,"proofed and no errors","krian@neoninc.org","krian@neoninc.org","legacyData"
"a06460a6-4ecd-439f-9437-d33bd50894c3","SOAP_047.basePlot.vst","2015-11-05","vst_SOAP_2015","D17","SOAP","SOAP_047","41","4","41 _0","CADE27","Calocedrus decurrens (Torr.) Florin","species",,,3,0,100,26.0,2.50,,"krian@neoninc.org","krian@neoninc.org","legacyData"
"f87258aa-31d6-40a4-a55d-67632260be74","SOAP_047.basePlot.vst","2015-11-05","vst_SOAP_2015","D17","SOAP","SOAP_047","41","4","41 _0","ARVIM","Arctostaphylos viscida Parry ssp. mariposa (Dudley) P.V. Wells","subspecies",,,96,3,97,26.0,2.50,,"krian@neoninc.org","krian@neoninc.org","legacyData"
"574d1ce0-ee0e-4cdd-b043-bafc2c5f41d9","SOAP_047.basePlot.vst","2015-11-05","vst_SOAP_2015","D17","SOAP","SOAP_047","41",,"41_01","PIPO","Pinus ponderosa Lawson & C. Lawson","species",,"cf. species",1,0,100,26.0,2.50,"proofed and no errors","krian@neoninc.org","krian@neoninc.org","legacyData"
"f55c9bbe-2880-41dc-b88e-2725c452c91c","SOAP_047.basePlot.vst","2015-11-05","vst_SOAP_2015","D17","SOAP","SOAP_047","23","4","23_01","ARVIM","Arctostaphylos viscida Parry ssp. mariposa (Dudley) P.V. Wells","subspecies",,,99,40,60,9.0,2.60,,"krian@neoninc.org","krian@neoninc.org","legacyData"
"88a42cad-57b7-42e4-bbfa-1a7ba3a5622b","SOAP_047.basePlot.vst","2015-11-05","vst_SOAP_2015","D17","SOAP","SOAP_047","23",,"23_01","PIPO","Pinus ponderosa Lawson & C. Lawson","species",,"cf. species",1,25,75,9.0,2.70,,"krian@neoninc.org","krian@neoninc.org","legacyData"
"598e0066-1408-4e6d-8af9-a44b597579f9","SOAP_047.basePlot.vst","2015-11-05","vst_SOAP_2015","D17","SOAP","SOAP_047","41",,"41_01","CADE27","Calocedrus decurrens (Torr.) Florin","species",,,3,0,100,26.0,2.50,,"krian@neoninc.org","krian@neoninc.org","legacyData"
"841f1c24-bbe8-4556-9948-87687a121390","SOAP_047.basePlot.vst","2015-11-05","vst_SOAP_2015","D17","SOAP","SOAP_047","41","4","41_01","ARVIM","Arctostaphylos viscida Parry ssp. mariposa (Dudley) P.V. Wells","subspecies",,,96,3,97,26.0,2.50,,"krian@neoninc.org","krian@neoninc.org","legacyData"
"9ba41c64-dee1-40d9-a5bd-15486f3c9c67","SOAP_047.basePlot.vst","2015-11-05","vst_SOAP_2015","D17","SOAP","SOAP_047","23","4","23 _0","PIPO","Pinus ponderosa Lawson & C. Lawson","species",,"cf. species",1,25,75,9.0,2.60,,"krian@neoninc.org","krian@neoninc.org","legacyData"
