uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,groupID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,volumePercent,livePercent,deadPercent,canopyArea,meanHeight,remarks,measuredBy,recordedBy,dataQF
"d968bfb0-e310-4952-900c-6ca661a3c694","DEJU_049.basePlot.vst","2015-06-16","vst_DEJU_2015","D19","DEJU","DEJU_049","21","4","21 _0","BETUL","Betula sp.","genus",,"cf. species",100,100,0,4.0,1.10,"BENA/BEGL","agutting@field-ops.org","amau@field-ops.org","legacyData"
"4823fffe-65cc-482d-992a-73d15841d77d","DEJU_049.basePlot.vst","2015-06-16","vst_DEJU_2015","D19","DEJU","DEJU_049","21","1","21 _0","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,100,90,10,4.0,2.02,,"agutting@field-ops.org","amau@field-ops.org","legacyData"
"9892ab76-d2ca-4894-a312-c4178c0a0ab4","DEJU_049.basePlot.vst","2015-06-16","vst_DEJU_2015","D19","DEJU","DEJU_049","23","4","23 _0","BETUL","Betula sp.","genus",,"cf. species",100,100,0,2.5,1.18,"BENA/BEGL","mharris@field-ops.org","sroberts@field-ops.org","legacyData"
"fd34dedc-3a96-463c-8ce5-267c57be225a","DEJU_049.basePlot.vst","2015-06-16","vst_DEJU_2015","D19","DEJU","DEJU_049","23","2","23 _0","ALVI5","Alnus viridis (Chaix) DC.","species",,,50,100,0,2.5,1.56,,"mharris@field-ops.org","sroberts@field-ops.org","legacyData"
"6657e848-2cd4-41d1-9625-0d1366809074","DEJU_049.basePlot.vst","2015-06-16","vst_DEJU_2015","D19","DEJU","DEJU_049","23","4","23 _0","BETUL","Betula sp.","genus",,"cf. species",95,100,0,2.5,1.04,"BENA/BEGL","mharris@field-ops.org","sroberts@field-ops.org","legacyData"
"104f1ad3-5729-4055-a992-651452900c16","DEJU_049.basePlot.vst","2015-06-16","vst_DEJU_2015","D19","DEJU","DEJU_049","23","4","23 _0","ALVI5","Alnus viridis (Chaix) DC.","species",,,5,100,0,2.5,1.04,,"mharris@field-ops.org","sroberts@field-ops.org","legacyData"
"dcab8736-d180-4cda-af09-e4d0cf95843e","DEJU_049.basePlot.vst","2015-06-16","vst_DEJU_2015","D19","DEJU","DEJU_049","23","2","23 _0","BETUL","Betula sp.","genus",,"cf. species",50,100,0,2.5,1.56,"BENA/BEGL","mharris@field-ops.org","sroberts@field-ops.org","legacyData"
"3afd3118-4298-4045-b700-952c1eb930d0","DEJU_045.basePlot.vst","2015-06-18","vst_DEJU_2015","D19","DEJU","DEJU_045","39","3","39 _0","SALIX","Salix sp.","genus",,"cf. species",40,30,70,2.5,0.82,,"mharris@field-ops.org; amau@field-ops.org","agutting@field-ops.org","legacyData"
"54cedb22-74eb-47ba-b225-326523a37232","DEJU_061.basePlot.vst","2015-06-18","vst_DEJU_2015","D19","DEJU","DEJU_061","31","1","31 _0","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,100,95,5,3.0,0.84,,"agutting@field-ops.org, mharris@field-ops.org","amau@field-ops.org","legacyData"
"1f943410-1e4f-4479-ab8f-3f77778cdd9b","DEJU_045.basePlot.vst","2015-06-18","vst_DEJU_2015","D19","DEJU","DEJU_045","23","2","23 _0","BETUL","Betula sp.","genus",,"cf. species",100,100,0,1.0,0.60,"BENA/BEGL","mharris@field-ops.org; amau@field-ops.org","agutting@field-ops.org","legacyData"
"83b5d43d-f0a8-4c99-9161-9065f9456abc","DEJU_045.basePlot.vst","2015-06-18","vst_DEJU_2015","D19","DEJU","DEJU_045","39","3","39 _0","BETUL","Betula sp.","genus",,"cf. species",60,100,0,2.5,0.82,"BENA/BEGL","mharris@field-ops.org; amau@field-ops.org","agutting@field-ops.org","legacyData"
